Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRoleRatio,PromotionLag,CompPercentile,SatisfactionIndex,IncomeExpRatio
0.446350404,1,Travel_Rarely,0.742526534,Sales,-1.010909343,-0.89168825,Life Sciences,0,-1.701282952,-0.660530674,0,1.383138267,0.379672129,-0.057787545,Sales Executive,1.15325359,Single,-0.108349514,0.726019941,2.125135924,Y,1,-1.150554102,-0.426230015,-1.584178241,0,-0.932014389,-0.421642458,-2.171981831,-2.493820422,-0.164613109,-0.063295899,-0.679145684,0.245833995,0.384513115,0.514532575,0.460122699,-0.896318937,0.256970121
1.322365214,0,Travel_Frequently,-1.297774602,Research & Development,-0.14714972,-1.868425752,Life Sciences,0,-1.699621324,0.254624925,1,-0.24067677,-1.026166736,-0.057787545,Research Scientist,-0.660853181,Married,-0.29171859,1.488876139,-0.678049393,Y,0,2.129306007,2.346151056,1.191437986,0,0.241988312,-0.164511401,0.155707081,0.338096164,0.488507728,0.764997621,-0.368715287,0.806541477,1.565988778,0.857223016,0.924657534,0.280826473,1.773242391
0.008342998,1,Travel_Rarely,1.414363238,Research & Development,-0.887515111,-0.89168825,Other,0,-1.696298069,1.169780525,1,1.284725234,-1.026166736,-0.961486392,Laboratory Technician,0.246200205,Single,-0.937653691,-1.674840861,1.324225833,Y,1,-0.057267399,-0.426230015,-0.658972832,0,-0.932014389,-0.550207987,0.155707081,0.338096164,-1.144294365,-1.16768726,-0.679145684,-1.15593471,1.020443074,-0.465148681,0.092664093,0.273776015,1.704180443
-0.429664407,0,Travel_Frequently,1.461466181,Research & Development,-0.764120879,1.061786754,Life Sciences,0,-1.694636441,1.169780525,0,-0.486709351,0.379672129,-0.961486392,Research Scientist,0.246200205,Married,-0.763633675,1.243210584,-0.678049393,Y,1,-1.150554102,-0.426230015,0.266232577,0,-0.932014389,-0.421642458,0.155707081,0.338096164,0.16194731,0.764997621,0.252145506,-1.15593471,4.723743928,-0.090198196,0.51369863,0.505077368,1.81109293
-1.086675515,0,Travel_Rarely,-0.524294706,Research & Development,-0.887515111,-1.868425752,Medical,0,-1.691313186,-1.575686274,1,-1.274013612,0.379672129,-0.961486392,Laboratory Technician,-0.660853181,Married,-0.644858109,0.325899897,2.525590969,Y,0,-0.877232426,-0.426230015,1.191437986,0,0.241988312,-0.678773516,0.155707081,0.338096164,-0.817733947,-0.61549158,-0.058284891,-0.595227228,0.752679502,-0.759449056,0.637065637,-0.176751326,0.950034281
-0.539166258,0,Travel_Frequently,0.502053617,Research & Development,-0.887515111,-0.89168825,Life Sciences,0,-1.689651558,1.169780525,1,0.645040523,0.379672129,-0.961486392,Laboratory Technician,1.15325359,Single,-0.72984957,-0.344199283,-1.078504438,Y,0,-0.60391075,-0.426230015,0.266232577,0,-0.932014389,-0.421642458,-0.620189223,-1.077862129,-0.0013329,0.764997621,0.252145506,0.526187736,-573.9348872,-0.253478406,0.536679537,0.377851141,1.730967922
2.417383728,0,Travel_Rarely,1.292887229,Research & Development,-0.764120879,0.085049252,Medical,0,-1.686328302,0.254624925,0,0.743453555,1.785510994,-0.961486392,Laboratory Technician,-1.567906567,Married,-0.814416073,-0.611227061,0.523315743,Y,1,1.30934098,2.346151056,-1.584178241,0,2.589993714,0.092619656,0.155707081,-1.077862129,-0.981014156,-1.16768726,-0.679145684,-1.15593471,1.190285841,-0.301868472,0.409266409,-0.993830503,-8.793123458
-0.758169961,0,Travel_Rarely,1.377176705,Research & Development,1.827157989,-1.868425752,Life Sciences,0,-1.684666675,1.169780525,1,0.054562328,0.379672129,-0.961486392,Laboratory Technician,0.246200205,Divorced,-0.809529064,-0.137463567,-0.678049393,Y,0,1.855984331,2.346151056,-0.658972832,0,0.241988312,-1.321601159,-0.620189223,0.338096164,-0.981014156,-1.16768726,-0.679145684,-1.15593471,1.190285841,-0.301868472,0.416988417,0.273776015,0.612536588
0.11784485,0,Travel_Frequently,-1.453958042,Research & Development,1.703763758,0.085049252,Life Sciences,0,-1.683005047,1.169780525,1,-1.077187547,-1.026166736,0.845911301,Manufacturing Director,0.246200205,Single,0.642337563,-0.776643742,-1.078504438,Y,0,1.582662656,2.346151056,-0.658972832,0,-0.932014389,-0.164511401,-0.620189223,0.338096164,0.325227519,0.764997621,-0.368715287,1.086895218,2.352192161,0.693942807,0.751724138,0.273776015,-3.904517007
-0.101158853,0,Travel_Rarely,1.230909673,Research & Development,2.197340685,0.085049252,Medical,0,-1.681343419,0.254624925,1,1.383138267,0.379672129,-0.057787545,Healthcare Representative,0.246200205,Married,-0.268983374,0.318170146,1.324225833,Y,0,-0.60391075,-0.426230015,-0.658972832,0,1.415991013,0.7354473,0.155707081,-1.077862129,-0.0013329,0.764997621,1.493867092,0.806541477,-573.9348872,-1.495199992,0.190839695,-0.309002458,-0.365741195
